date,Sales,Gallons
2018-05-14,4847.42,122
2018-05-21,5472.08,130
2018-05-28,1879.63,41
2018-05-28,2048.33,47
2018-06-04,3865.72,80
2018-06-11,6666.03,159
2018-06-18,5928.07,169
2018-06-25,6448.39,145
2018-07-02,7188.14,162
2018-07-09,7363,202
2018-07-16,7059.07,170
2018-07-23,7581.49,186
2018-07-30,2694.4,60
2018-07-30,4122.8,89
2018-08-06,7224.41,184
2018-08-13,4252.74,91
2018-08-20,6711.29,174
2018-08-27,2955.62,54
2018-08-27,1234.16,39
2018-09-03,7870.2,211
2018-09-10,9324.14,227
2018-09-17,8423.11,195
2018-09-24,7646.88,199
2018-10-01,8359.96,202
2018-10-08,7758.37,179
2018-10-15,5405.19,120
2018-10-22,3028.38,66
2018-10-29,2746.03,68
2018-10-29,3596.03,73
2018-11-05,9473.98,208
2018-11-12,7451.77,197
2018-11-19,2355.57,43
2018-11-26,4766.65,94
2018-11-26,179.86,3
2018-12-03,5876.04,165
2018-12-10,4775.11,84
2018-12-17,6229.45,159
2018-12-24,4973.34,128
2018-12-31,453.7,9
2018-12-31,1578.07,36
2019-01-07,5566.96,148
2019-01-14,6982.92,139
2019-01-21,6602.64,170
2019-01-28,3483.08,72
2019-01-28,846.37,26
2019-02-04,1790.87,37
2019-02-11,3039.5,66
2019-02-18,8426.52,205
2019-02-25,7960.82,220
2019-02-25,2461.71,63
2019-03-04,5555.69,155
2019-03-11,9088.35,215
2019-03-18,7631.4,174
2019-03-25,8193.82,213
2019-04-01,,
2019-04-01,5445.08,121
2019-04-08,8548.55,137
2019-04-15,4986.09,141
2019-04-22,12617.61,301
2019-04-29,4216.17,95
2019-04-29,4017.95,104
2019-05-06,4675.87,117
2019-05-13,10486.21,225
2019-05-20,11863.38,279
2019-05-27,8647.66,187
2019-05-27,582.22,11
2019-06-03,4656.17,103
2019-06-10,9095.48,200
2019-06-17,6870,123
2019-06-24,6094.63,137
2019-07-01,6410.24,154
2019-07-08,5980.15,135
2019-07-15,12995.22,422
2019-07-22,6400.72,165
2019-07-29,4149.81,138
2019-07-29,3099.85,72
2019-08-05,8801.67,165
2019-08-12,5545.08,123
2019-08-19,6234.52,119
2019-08-26,10141.08,250
2019-09-02,8692.92,243
2019-09-09,10624.54,285
2019-09-16,7962.33,192
2019-09-23,8218.51,195
2019-09-30,4742.49,118
2019-09-30,5699.18,152
2019-10-07,11968.61,296
2019-10-14,12059.84,269
2019-10-21,8104.44,226
2019-10-28,4793.2,157
2019-10-28,5798.29,126
2019-11-04,6513.37,159
2019-11-11,9659.79,162
2019-11-18,8603.42,198
2019-11-25,10999.43,324
2019-12-02,4615.82,102
2019-12-09,6579.64,131
2019-12-16,12053.16,383
2019-12-23,3764.59,101
2019-12-30,1123.94,18
2019-12-30,1765.19,36
2020-01-06,6607.58,148
2020-01-13,5282.63,130
2020-01-20,17482.44,479
2020-01-27,8204.89,271
2020-01-27,832.08,20
2020-02-03,9985.85,289
2020-02-10,6246.31,167
2020-02-17,5945.17,139
2020-02-24,7576.94,135
2020-03-02,5610.77,130
2020-03-09,6487.63,125
2020-03-16,7195.56,138
2020-03-23,6080.02,143
2020-03-30,2770.92,51
2020-03-30,2435.01,32
2020-04-06,9021.77,260
2020-04-13,13045.44,430
2020-04-20,7296.35,135
2020-04-27,5054.48,103
2020-04-27,8722.2,285
2020-05-04,9816.38,220
2020-05-11,11319.84,273
2020-05-18,10523.25,205
2020-05-25,5312.33,108
2020-06-01,9722.35,224
2020-06-08,10240.92,304
2020-06-15,7239.02,185
2020-06-22,8552.12,236
2020-06-29,2680.95,61
2020-06-29,5623.53,167
2020-07-06,8615.6,177
2020-07-13,11520.62,269
2020-07-20,13266.35,353
2020-07-27,8570.79,185
2020-07-27,432.75,6
2020-08-03,6577.92,165
2020-08-10,13086.82,274
2020-08-17,7090.4,139
2020-08-24,9595.29,203
2020-08-31,5574.34,74
2020-08-31,4906.16,143
2020-09-07,6483.8,165
2020-09-14,15607.29,498
2020-09-21,8265.64,140
2020-09-28,7583.72,222
2020-09-28,4210.67,99
2020-10-05,11781.31,295
2020-10-12,12384.46,265
2020-10-19,11653.99,372
2020-10-26,14362.72,335
2020-11-02,18739.44,339
2020-11-09,11512.97,413
2020-11-16,11919.04,369
2020-11-23,6279.5,159
2020-11-30,2718.75,76
2020-11-30,6697.49,188
2020-12-07,19076.34,548
2020-12-14,11153.52,270
2020-12-21,9510.98,227
2020-12-28,6061.71,128
2021-01-04,301.12,6
2021-01-11,10400.43,226
2021-01-18,7813.63,224
2021-01-25,8017.06,160
2021-02-01,8826.78,199
2021-02-08,10589.52,294
2021-02-15,11586.85,362
2021-02-22,2625.13,53
2021-03-01,6022.9,122
2021-03-08,8828.74,298
2021-03-15,11574.71,316
2021-03-22,10941.02,287
2021-03-29,14241.69,358
2021-04-05,9992.08,336
2021-04-05,7232.81,238
2021-04-12,12701.16,412
2021-04-19,14375.72,399
2021-04-26,11798.98,331
2021-05-03,11118.58,271
2021-05-03,1767.79,36
2021-05-10,17278.09,458
2021-05-17,21851.99,739
2021-05-24,17970.63,572
2021-05-31,14021.76,456
2021-06-07,,
2021-06-07,13138.55,304
2021-06-14,25033.72,676
2021-06-21,17742.56,560
2021-06-28,26053.35,848
2021-07-05,6442.79,158
2021-07-05,7699.85,199
2021-07-12,19407.1,539
2021-07-19,25471.28,757
2021-07-26,33287.3,956
2021-08-02,30248.36,819
2021-08-09,24875.61,741
2021-08-16,27248.09,806
2021-08-23,26927.33,770
2021-08-30,32798.25,1019
2021-09-06,12935.86,446
2021-09-06,14608.57,342
2021-09-13,20977.57,594
2021-09-20,18859.22,543
2021-09-27,25020.04,723
2021-10-04,25515.92,639
2021-10-04,5004.5,113
2021-10-11,22222.67,645
2021-10-18,24921.06,541
2021-10-25,17884.99,557
2021-11-01,17328.34,453
2021-11-08,22668.83,562
2021-11-15,32013.45,728
2021-11-22,28512.75,780
2021-11-29,9425.94,271
2021-12-06,4319.01,152
2021-12-06,13263.2,411
2021-12-13,17301.42,477
2021-12-20,17591.55,451
2021-12-27,10240.96,231
2022-01-03,5853.49,132
2022-01-10,10344.08,263
2022-01-17,15349.34,395
2022-01-24,10862.47,247
2022-01-31,10557.13,160
2022-02-07,1008.43,23
2022-02-07,6617.55,155
2022-02-14,8148.12,180
2022-02-21,13316.88,324
2022-02-28,7411.21,168
2022-03-07,1408.84,27
2022-03-07,11078.31,245
2022-03-14,11099.72,234
2022-03-21,12169.86,300
2022-03-28,8974.99,219
2022-04-04,10438.69,258
2022-04-04,1340.25,34
2022-04-11,7890.46,197
2022-04-18,8822.93,206
2022-04-25,19261.39,508
2022-05-02,10123.1,206
2022-05-09,13316.74,325
2022-05-16,13895.66,300
2022-05-23,12436.33,270
2022-05-30,7407.78,177
2022-06-06,1947.29,24
2022-06-06,10850.16,263
2022-06-13,13589.04,309
2022-06-20,11078.06,205
2022-06-27,10737.46,208
2022-07-04,5595.35,160
2022-07-04,1648.84,27
2022-07-11,7769.22,180
2022-07-18,10792.6,280
2022-07-25,13036.87,292
2022-08-01,15847.46,394
2022-08-08,10479.86,282
2022-08-15,6509.72,134
2022-08-22,10290.97,199
2022-08-29,7631.02,134
2022-09-05,10944.15,257
2022-09-05,3080.22,64
2022-09-12,6928.31,167
2022-09-19,5609.24,121
2022-09-26,12499.11,245
2022-10-03,10693.4,258
2022-10-03,416.5,8
2022-10-10,15967.92,467
2022-10-17,12754.59,376
2022-10-24,11609.31,251
2022-10-31,18791.49,418
2022-11-07,1183.58,36
2022-11-07,11084.17,269
2022-11-14,13762.96,352
2022-11-21,14336.83,364
2022-11-28,9511.69,235
2022-12-05,6824.11,147
2022-12-05,7035.12,157
2022-12-12,12462.51,338
2022-12-19,6875.18,144
2022-12-26,6442.34,155
2023-01-02,6542.48,123
2023-01-02,7320.07,172
2023-01-09,10926.12,265
2023-01-16,13495.71,297
2023-01-23,10485.72,258
2023-01-30,4171.92,110
2023-01-30,4041.66,111
2023-02-06,9044.02,211
2023-02-13,12294.91,320
2023-02-20,9652.43,175
2023-02-27,2974.7,46
2023-02-27,7779.14,151
2023-03-06,16861.58,333
2023-03-13,10892.04,191
2023-03-20,2470.19,49
2023-03-27,12621.68,350
2023-03-27,342.91,5
2023-04-03,5357.94,96
2023-04-10,6242.81,143
2023-04-17,15126.06,299
2023-04-24,5496.53,128
2023-05-01,7056.26,130
2023-05-08,13883.57,349
2023-05-15,6822.18,131
2023-05-22,10036.13,167
2023-05-29,3850.59,71
2023-05-29,4023.94,89
2023-06-05,17802.13,322
2023-06-12,6690.16,138
2023-06-19,5160.38,129
2023-06-26,4112.99,82
2023-06-26,292.13,4
2023-07-03,4269.87,95
2023-07-10,7580.23,139
2023-07-17,8909.67,217
2023-07-24,3671.34,74
2023-07-31,1593.47,38
2023-07-31,14606.47,157
2023-08-07,3789.26,73
2023-08-14,7885.5,153
2023-08-21,7448.68,141
2023-08-28,9925.27,187
2023-08-28,1954.93,27
2023-09-04,10005.6,193
2023-09-11,8417.71,162
2023-09-18,8152.41,143
2023-09-25,7081.6,126
2023-10-02,6660.23,163
2023-10-09,7143.36,183
2023-10-16,22113.15,563
2023-10-23,5044.65,102
2023-10-30,1501.73,46
2023-10-30,4949.84,142
2023-11-06,11530.07,299
2023-11-13,9550.36,214
2023-11-20,7381.64,155
2023-11-27,8293.38,190
2023-11-27,1845.11,47
2023-12-04,10087.07,162
2023-12-11,7116.34,161
2023-12-18,8908.19,208
2023-12-25,4902.33,143
2024-01-01,8677,221
2024-01-08,8425.2,210
2024-01-15,9135.83,287
2024-01-22,14203.17,359
2024-01-29,3431.93,82
2024-01-29,6743.86,190
2024-02-05,7986.73,226
2024-02-12,11355.77,378
2024-02-19,9136.93,219
2024-02-26,7306.5,139
2024-02-26,1610.06,46
2024-03-04,13013.71,247
2024-03-11,7695.68,165
2024-03-18,8013.46,160
2024-03-25,10965.59,154
2024-04-01,13567.21,261
2024-04-08,9085.8,211
2024-04-15,9271.72,205
2024-04-22,11519.77,257
2024-04-29,4208.21,88
2024-04-29,12024.72,302
2024-05-06,11716.28,277
2024-05-13,8478.54,177
2024-05-20,6763.67,119
2024-05-27,3555.26,70
